Timestamp,ctrltarget.ax,ctrltarget.ay,ctrltarget.az,ctrltarget.pitch,ctrltarget.roll,ctrltarget.yaw
137937,0.0,0.0,0.0,2.4869577884674072,27.886577606201172,-0.0
138037,0.0,0.0,0.0,5.752017498016357,29.99903678894043,-0.0
138137,0.0,0.0,0.0,5.944759845733643,29.99903678894043,-0.0
138237,0.0,0.0,0.0,5.944759845733643,29.99903678894043,-0.0
138337,0.0,0.0,0.0,5.944759845733643,29.99903678894043,-0.0
138437,0.0,0.0,0.0,5.944759845733643,29.99903678894043,-0.0
138537,0.0,0.0,0.0,5.944759845733643,29.99903678894043,-0.0
138637,0.0,0.0,0.0,5.944759845733643,29.99903678894043,-0.0
138737,0.0,0.0,0.0,5.944759845733643,29.99903678894043,-0.0
138837,0.0,0.0,0.0,5.944759845733643,29.99903678894043,-0.0
138937,0.0,0.0,0.0,5.944759845733643,29.99903678894043,-0.0
139037,0.0,0.0,0.0,5.944759845733643,29.99903678894043,-0.0
139137,0.0,0.0,0.0,5.944759845733643,29.99903678894043,-0.0
139237,0.0,0.0,0.0,5.944759845733643,29.99903678894043,-0.0
139337,0.0,0.0,0.0,5.944759845733643,29.99903678894043,-0.0
139437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
139537,0.0,0.0,0.0,7.287212371826172,-22.840576171875,-0.0
139637,0.0,0.0,0.0,11.333843231201172,-29.99903678894043,-0.0
139737,0.0,0.0,0.0,11.333843231201172,-29.99903678894043,-0.0
139837,0.0,0.0,0.0,11.333843231201172,-29.99903678894043,-0.0
139937,0.0,0.0,0.0,11.333843231201172,-29.99903678894043,-0.0
140037,0.0,0.0,0.0,11.333843231201172,-29.99903678894043,-0.0
140137,0.0,0.0,0.0,11.222052574157715,-29.99903678894043,-0.0
140237,0.0,0.0,0.0,11.096769332885742,-29.99903678894043,-10.24169921875
140337,0.0,0.0,0.0,10.825002670288086,-29.99903678894043,-10.791015625
140437,0.0,0.0,0.0,10.0000638961792,-29.99903678894043,-11.3250732421875
140537,0.0,0.0,0.0,8.478361129760742,-29.99903678894043,-28.216552734375
140637,0.0,0.0,0.0,6.9402756690979,-29.99903678894043,-59.67254638671875
140737,0.0,0.0,0.0,0.18464741110801697,-29.99903678894043,-61.75537109375
140837,0.0,0.0,0.0,-15.530813217163086,-5.198846340179443,-67.59185791015625
140937,0.0,0.0,0.0,-29.99903678894043,1.8374152183532715,-107.196044921875
141037,0.0,0.0,0.0,-29.99903678894043,4.0973219871521,-110.614013671875
141137,0.0,0.0,0.0,-29.99903678894043,2.8377492427825928,-110.2783203125
141237,0.0,0.0,0.0,-29.99903678894043,0.3224583566188812,-91.9525146484375
141337,0.0,0.0,0.0,-29.99903678894043,-5.551115123125783e-17,-47.48077392578125
141437,0.0,0.0,0.0,-7.760395050048828,-5.551115123125783e-17,-45.06988525390625
141537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-45.06988525390625
141637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-43.43719482421875
141737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-30.0628662109375
141837,0.0,0.0,0.0,0.45545077323913574,6.263749122619629,-0.0
141937,0.0,0.0,0.0,7.3199782371521,19.327842712402344,-0.0
142037,0.0,0.0,0.0,5.848388671875,14.0100736618042,-0.0
142137,0.0,0.0,0.0,1.8085037469863892,1.7159873247146606,10.37139892578125
142237,0.0,0.0,0.0,8.882157325744629,-5.551115123125783e-17,199.93133544921875
142337,0.0,0.0,0.0,23.332069396972656,0.21259509027004242,199.99237060546875
142437,0.0,0.0,0.0,29.153860092163086,1.671656608581543,173.85406494140625
142537,0.0,0.0,0.0,29.99903678894043,1.8653628826141357,-0.0
142637,0.0,0.0,0.0,29.99903678894043,-5.551115123125783e-17,-0.0
142737,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
142837,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
142937,0.0,0.0,0.0,3.610647201538086,-5.551115123125783e-17,-0.0
143037,0.0,0.0,0.0,7.2833571434021,-4.079975128173828,-0.0
143137,0.0,0.0,0.0,-0.0,-6.796682357788086,-0.0
143237,0.0,0.0,0.0,-1.5357730388641357,-5.868626594543457,-0.0
143337,0.0,0.0,0.0,-16.544639587402344,-1.8653628826141357,-0.0
143437,0.0,0.0,0.0,-19.1148624420166,-5.551115123125783e-17,-0.0
143537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-37.58544921875
143637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-43.841552734375
143737,0.0,0.0,0.0,-0.0,4.4269118309021,-45.458984375
143837,0.0,0.0,0.0,-0.0,2.0629241466522217,-25.1953125
143937,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
144037,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
144137,0.0,0.0,0.0,0.06803813576698303,11.022563934326172,-27.880859375
144237,0.0,0.0,0.0,6.333136081695557,29.99903678894043,-185.37445068359375
144337,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-13.812255859375
144437,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
144537,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
144637,0.0,0.0,0.0,-0.0,-5.551115123125783e-17,-0.0
